,rider,team,points
279,Oscar  Riesebeek ,Alpecin - Deceuninck,270
280,Sonny  Colbrelli ,Bahrain - Victorious,270
281,Alan  Banaszek ,HRE Mazowsze Serce Polski,268
282,Anthony  Delaplace ,Team Arkéa Samsic,264
283,Mike  Teunissen ,Jumbo-Visma,263.5
284,Casper van Uden ,Team DSM,263
285,Barnabás  Peák ,Intermarché - Wanty - Gobert Matériaux,263
286,Mark  Stewart ,Bolton Equities Black Spoke Pro Cycling,257.2
287,Nickolas  Zukowsky ,Human Powered Health,253
288,Juan Sebastián  Molano ,UAE Team Emirates,250.5
289,Felix  Gall ,AG2R Citroën Team,250.3
290,Laurent  Pichon ,Team Arkéa Samsic,247
291,Marijn van den Berg ,EF Education - EasyPost,246
292,Hamza  Amari ,Dubai Police Cycling Team,245.3
293,Hermann  Pernsteiner ,Bahrain - Victorious,245
294,Mykhaylo  Kononenko ,Sakarya BB Pro Team,245
295,Nicolas  Edet ,Team Arkéa Samsic,245
296,Aivaras  Mikutis ,Team Ampler - Tartu2024,243.5
297,Franck  Bonnamour ,B&B Hotels - KTM,243
298,Hugo  Page ,Intermarché - Wanty - Gobert Matériaux,242
299,Rui  Costa ,UAE Team Emirates,242
300,Dorian  Godon ,AG2R Citroën Team,241
301,Lennert Van Eetvelt ,Lotto - Soudal U23,240.5
302,Romain  Grégoire ,Equipe continentale Groupama-FDJ,239
303,Fausto  Masnada ,Quick-Step Alpha Vinyl Team,238.5
304,Evaldas  Šiškevičius ,Go Sport - Roubaix Lille Métropole,238
305,Domen  Novak ,Bahrain - Victorious,238
306,Ilan Van Wilder ,Quick-Step Alpha Vinyl Team,237.5
307,Stefan de Bod ,Astana Qazaqstan Team,236
308,Gustav  Basson ,ProTouch,235.8
309,Sepp  Kuss ,Jumbo-Visma,235.5
310,Elia  Viviani ,INEOS Grenadiers,235
311,Davide  Ballerini ,Quick-Step Alpha Vinyl Team,234
312,Odd Christian  Eiking ,EF Education - EasyPost,232
313,Kevin  Geniets ,Groupama - FDJ,230
314,Paul  Double ,Mg.K Vis-Color for Peace-VPM,230
315,Matevž  Govekar ,Bahrain - Victorious,229
316,Aurélien  Paret-Peintre ,AG2R Citroën Team,229
317,Pier-André  Côté ,Human Powered Health,228
318,Harm  Vanhoucke ,Lotto Soudal,226
319,Kent  Main ,ProTouch,225.8
320,Carl Fredrik  Hagen ,Israel - Premier Tech,225
321,Sam  Oomen ,Jumbo-Visma,224.5
322,Stan  Dewulf ,AG2R Citroën Team,222
323,Alec  Segaert ,Lotto - Soudal U23,221.8
